year,season,type,club1,club2,result1,result2,date,time,index,dates,scheduleid
2018,spring,常规赛,LGD,BLG,0,2,02-24,19:00,https://www.wanplus.com/schedule/38847.html,2018/02/24 19:00:00,38847
2018,spring,常规赛,IG,LNG,2,0,02-25,17:00,https://www.wanplus.com/schedule/38848.html,2018/02/25 17:00:00,38848
2018,spring,常规赛,RNG,WE,2,1,02-25,19:00,https://www.wanplus.com/schedule/38849.html,2018/02/25 19:00:00,38849
2018,spring,常规赛,RW,BLG,2,1,02-26,17:00,https://www.wanplus.com/schedule/38850.html,2018/02/26 17:00:00,38850
2018,spring,常规赛,EDG,SN,2,0,02-26,19:00,https://www.wanplus.com/schedule/38851.html,2018/02/26 19:00:00,38851
2018,spring,常规赛,WE,JDG,2,0,02-27,17:00,https://www.wanplus.com/schedule/38854.html,2018/02/27 17:00:00,38854
2018,spring,常规赛,TES,FPX,0,2,02-27,19:00,https://www.wanplus.com/schedule/38855.html,2018/02/27 19:00:00,38855
2018,spring,常规赛,VG,RNG,1,2,02-28,17:00,https://www.wanplus.com/schedule/38856.html,2018/02/28 17:00:00,38856
2018,spring,常规赛,RW,EDG,2,0,02-28,19:00,https://www.wanplus.com/schedule/38857.html,2018/02/28 19:00:00,38857
2018,spring,常规赛,OMG,SN,0,2,03-02,17:00,https://www.wanplus.com/schedule/38858.html,2018/03/02 17:00:00,38858
2018,spring,常规赛,VG,LGD,2,0,03-02,19:00,https://www.wanplus.com/schedule/38859.html,2018/03/02 19:00:00,38859
2018,spring,常规赛,FPX,LGD,2,0,03-03,17:00,https://www.wanplus.com/schedule/38860.html,2018/03/03 17:00:00,38860
2018,spring,常规赛,IG,EDG,2,0,03-03,19:00,https://www.wanplus.com/schedule/38861.html,2018/03/03 19:00:00,38861
2018,spring,常规赛,LNG,SN,2,1,03-04,17:00,https://www.wanplus.com/schedule/38862.html,2018/03/04 17:00:00,38862
2018,spring,常规赛,WE,TES,2,1,03-04,19:00,https://www.wanplus.com/schedule/38863.html,2018/03/04 19:00:00,38863
2018,spring,常规赛,FPX,RNG,0,2,03-05,17:00,https://www.wanplus.com/schedule/38864.html,2018/03/05 17:00:00,38864
2018,spring,常规赛,EDG,JDG,2,0,03-05,19:00,https://www.wanplus.com/schedule/38865.html,2018/03/05 19:00:00,38865
2018,spring,常规赛,VG,RW,0,2,03-06,17:00,https://www.wanplus.com/schedule/38866.html,2018/03/06 17:00:00,38866
